timestamp,open,high,low,close,volume
2018-02-16,160.96,163.6,160.845,162.66,1997852
2018-02-15,160.39,161.11,158.11,161.06,1815828
2018-02-14,156.01,160.12,155.15,159.79,2488848
2018-02-13,154.2,156.99,153.99,156.84,2029692
2018-02-12,154.67,156.47,153.9,154.95,2229969
2018-02-09,151.69,154.99,148.79,153.84,3643267
2018-02-08,155.31,155.47,150.37,150.51,2561721
2018-02-07,154.22,158.93,153.07,155.15,2899684
2018-02-06,150.29,155.18,149.43,154.69,3892071
2018-02-05,156.12,159.27,150.73,151.83,3279792
2018-02-02,159.98,160.27,156.63,156.9,1996693
2018-02-01,160.155,161.13,159.54,160.46,1688252
2018-01-31,160.09,160.945,159.73,160.7,1834626
2018-01-30,160.96,161.16,159.11,159.7,1658261
2018-01-29,162.33,162.6,160.97,161.19,1258390
2018-01-26,161.25,162.58,160.33,162.55,1891690
2018-01-25,161.12,161.75,160.615,160.79,1297824
2018-01-24,161.2,161.99,160.54,160.6,1927625
2018-01-23,161.29,162.05,160.64,160.88,1611711
2018-01-22,161.21,161.88,160.82,161.43,1698171
2018-01-19,161.6,162.498,160.2,161.75,2217918
2018-01-18,160.13,161.0823,159.82,160.94,1591559
2018-01-17,159.1,160.47,158.81,160.21,2084323
2018-01-16,160.25,160.37,157.91,157.96,2778473
2018-01-12,159.5,160.635,158.57,160.11,2048771
2018-01-11,158.9,159.4,158.051,159.11,1809182
2018-01-10,158.95,159.15,157.7308,158.9,1618687
2018-01-09,158.5,159.49,157.4535,159.46,3204721
2018-01-08,157.37,159.01,156.84,158.93,2610112
2018-01-05,156.61,157.72,156.13,157.67,1587649
2018-01-04,155,156.86,154.77,156.38,1753288
2018-01-03,152.985,154.99,152.985,154.55,2062495
2018-01-02,153.5,154.1,152.78,153.84,2854628
2017-12-29,154.43,154.58,153.07,153.09,1444648
2017-12-28,153.46,153.905,152.99,153.57,1018407
2017-12-27,153.24,153.765,152.83,153.32,1516900
2017-12-26,153.14,153.47,152.46,152.99,1513488
2017-12-22,155.49,156,153.8,153.89,1764607
2017-12-21,156.09,158.44,153.91,154.2,4484026
2017-12-20,152.43,152.87,151.62,151.75,3194542
2017-12-19,152,152.79,150.9901,152.22,2060364
2017-12-18,153.7,153.75,151.58,151.72,2264582
2017-12-15,151.56,152.9,150.66,152.66,3077310
2017-12-14,151.86,152.41,151.15,151.21,1611811
2017-12-13,151.81,152.75,150.41,151.42,1585986
2017-12-12,150.61,152.8,149.96,152.1,2317890
2017-12-11,150.55,151.14,150.13,150.69,1891493
2017-12-08,149.1,150.59,148.72,150.53,1723659
2017-12-07,148,148.66,147.24,148.6,1526444
2017-12-06,147.74,148.4799,147.27,148.27,1328560
2017-12-05,147.24,148.48,146.785,147.67,1393436
2017-12-04,147.5,147.97,146.08,147.15,2097948
2017-12-01,147.7,148.36,145.745,146.57,1971617
2017-11-30,147,148.6,146.8,148.01,2837114
2017-11-29,148.56,148.56,145.23,146.95,1972967
2017-11-28,148.01,148.49,146.6468,148.04,1915996
2017-11-27,148,148.1,147.43,147.5,1323732
2017-11-24,148.17,148.17,146.8,147.63,601818
2017-11-22,147.85,148.325,147.03,147.11,1239929
2017-11-21,147,148.47,146.41,148.01,1732023
2017-11-20,145.37,146.85,144.88,146.57,1577049
2017-11-17,146.39,146.79,144.75,145.45,2550530
2017-11-16,144.96,147.28,144.6,147.04,2040100
2017-11-15,144.41,145,143.675,144.26,1790814
2017-11-14,143.41,145.5,142.77,144.96,1811893
2017-11-13,143.61,144.28,143.16,143.92,1421511
2017-11-10,143.52,144.07,142.695,143.89,918955
2017-11-09,144.61,144.73,142.97,143.83,1288475
2017-11-08,143.76,145,143,144.89,1208312
2017-11-07,144.48,144.48,142.94,143.5,1246883
2017-11-06,143.12,144.21,142.29,143.93,1488735
2017-11-03,143.43,144.69,143.1001,144.04,1336018
2017-11-02,142.5,143.78,141.93,143.43,1580288
2017-11-01,142.26,143.19,141.47,142.96,2052529
2017-10-31,143.18,143.29,142.155,142.36,2209896
2017-10-30,143.39,143.78,142.13,143.29,2145041
2017-10-27,142.64,143.61,141.99,143.28,2367616
2017-10-26,141.58,142.91,141.34,141.97,1965479
2017-10-25,139,141.24,138.66,141.22,2046217
2017-10-24,139.34,139.43,138.05,138.91,1202971
2017-10-23,139.75,140.1705,139.05,139.33,1507889
2017-10-20,139.17,139.5,138.51,139.49,1364863
2017-10-19,137.45,138.67,136.84,138.62,1278034
2017-10-18,138.23,138.63,137.36,137.42,1584802
2017-10-17,138.91,139.28,138.28,138.65,1435183
2017-10-16,139.43,139.57,138.12,139.09,1453106
2017-10-13,139.58,140,138.2,139.2,1677933
2017-10-12,136.98,139.65,136.14,139.2,2728422
2017-10-11,137.19,137.52,136.41,136.91,2472365
2017-10-10,137,138,136.845,137.52,1786645
2017-10-09,136.25,137,136.03,136.99,1007984
2017-10-06,136.16,136.97,135.7201,136.25,1275707
2017-10-05,135.5,136.37,135.27,136.22,1666067
2017-10-04,134.52,135.68,134.4594,135.16,2177311
2017-10-03,134.84,135.97,133.66,134.25,2534894
2017-10-02,135.23,135.84,134.62,135.44,2661790
2017-09-29,136.91,137.57,134.84,135.07,3299483
2017-09-28,132.79,137.68,132.27,136.32,4238520
2017-09-27,137.32,137.54,136.12,136.64,3855258
2017-09-26,138.5,138.7,136.75,136.84,2902690
